Event Name,Format,Organizer,Start Date,City,Country,Description,URL
CIOMeet 2025: Columbus,In Person,CXO Inc.,2025-11-06,Columbus,United States,"CIOMeet by CXO Inc. facilitates a community of CIOs to foster innovation and growth within their organizations. The events provide a forum for CIOs to discuss, debate, and challenge strategies through panels, roundtables, and 1:1 discussions. These events bring together IT leaders to exchange practices and forge new partnerships.",https://www.ciomeet.org/
Defenders Tour: SecOps Workshop - Arlington,In Person,LimaCharlie,2025-11-06,Arlington,United States,"This hands-on workshop introduces a powerful architecture for modern security operations by integrating four complementary tools that address critical elements of the security lifecycle. Participants will learn how to build a scalable security foundation using LimaCharlie's SecOps Cloud Platform, enhance email threat protection with Sublime Security's behavioral analysis, and orchestrate security workflows through Tines' no-code automation platform. Seasoned security engineers from enterprise SOCs and MSSPs are encouraged to attend to learn practical implementation strategies.",https://lu.ma/defenders-tour-arlington
Chief AI Officer Summit: London,In Person,world.aiacceleratorinstitute,2025-11-06,London,United Kingdom,"Uniting AI executives, from newly-appointed Chief AI Officers to established data & technology leaders, to streamline strategy & maximize value on the journey to production & scale.",https://world.aiacceleratorinstitute.com/location/caiolondon
Generative AI Summit: London,In Person,World AI Accelerator Institute,2025-11-06,London,United Kingdom,"Connect, debug, and deploy alongside your builder community at London's most focused AI builder gathering. Join the brightest minds in AI; bridge the gap between cutting-edge research & value-driving application for engineers & developers. Unite with your community for a day of unrivalled networking, learning and discussion, so that you're able to: Conquer challenges in infrastructure, data layer, deployment, optimisation, and beyond. Remain competitive, having assessed the latest cutting-edge applications & technologies. Leave connected with Europe's most innovative leaders, equipped with the tools and tech stack you need.",https://world.aiacceleratorinstitute.com/location/london
The Official Cybersecurity Summit,In Person,cybersecuritysummit,2025-11-06,Houston,United States,"The 7th Annual Houston Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch, and cocktail reception.",https://cybersecuritysummit.com/summit/houston25/
Open Source Summit Korea 2025,In Person,Linux Foundation,2025-11-05,Seoul,South Korea,"Open Source Summit is the premier event for open source developers, technologists, and community leaders to collaborate, share information, solve problems, and gain knowledge, furthering open source innovation and ensuring a sustainable open source ecosystem. It is the gathering place for open-source code and community contributors.",https://events.linuxfoundation.org/open-source-summit-korea/
CyberCon 2025,In Person,BC Association of Chiefs of Police,2025-11-03,Whistler,Canada,"Join us for CyberCon 2025, hosted by the British Columbia Association of Chiefs of Police, taking place November 3rd to 5th, 2025, at the Fairmont Chateau Whistler. This premier event in Canadian public safety offers advanced training and high-impact discussions on the ever-evolving cybercrime landscape, including specialized cryptocurrency training and Open-Source Intelligence training. Attendees will experience keynote presentations, interactive panels, and real-world case studies.",https://www.bcacp.ca/cybercon-2025/
Conf42: JavaScript 2025,Virtual,Conf42,2025-10-30,London,United Kingdom,"Conf42 JavaScript 2025 is an online event happening on October 30th, 2025. It offers access to keynotes, panels, a community platform, live events with regular office hours, Q&As, CV reviews, courses, quizzes, and certificates.",https://www.conf42.com/js2025
CIO NetworX London,In Person,CIO NetworX,2025-10-30,London,United Kingdom,"CIO NetworX London delivers an exclusive evening built for CIOs and senior IT executives seeking high-impact dialogue and valuable peer exchange. The event fosters strategic discussions, targeted networking, and insightful collaboration in a closed-door setting, including pre-arranged meetings, executive car service, gourmet canapés, and a private insight dinner.",https://cxo-institute.com/our-events/cio-networx-london-oct-2025/
Digital Identity & Trust Conference,In Person,Heliview Conferences & Training,2025-10-30,Mechelen,Belgium,"The Digital Identity & Trust Conference is your annual guide to the latest insights in Trust Services, Digital Identities, Access Management, and API Security. Explore the impact of new regulations such as eIDAS 2.0, gain practical strategies from industry experts, and connect with peers to shape the future of digital trust together.",https://heliview.com/digital-identity-trust-belgium/
CIO Institute New York,In Person,CIO Institute,2025-10-30,New York City,United States,"The CIO Institute series is coming back to New York to offer an exclusive one-day gathering for IT leaders to collaborate and explore the latest trends and challenges in digital transformation, data, and cybersecurity. Key themes include leveraging AI and automation for operational efficiency, implementing Zero Trust architectures for enhanced security, and optimising cloud strategies for cost and scalability. Attendees will dive into advanced data analytics, decision intelligence, and governance, as well as strategies for building cyber resilience and managing emerging threats. This event provides valuable insights and actionable strategies to help leaders drive innovation, manage risk, and navigate the evolving business landscape.",https://cxo-institute.com/our-events/cio-institute-new-york-oct-2025/
Ransomware – The Official Cybersecurity Summit,Virtual,Cyber Security Summit,2025-10-29,New York City,United States,"This virtual conference gathers cybersecurity experts to dive deep into the ransomware landscape, explore proactive defense strategies, and provide actionable guidance for effective recovery and long-term resilience.",https://cybersecuritysummit.com/summit/ransomware25/
